url,lang,type,topic,intent,status,notes,surface
/ru/specialist/monika-ambrasiene/,ru,Other,Other,Informational,Active,,specialist-partial
/ru/specialist/monika-maciute/,ru,Other,Other,Informational,Active,,specialist-partial
/ru/specialist/monika-pratapiene/,ru,Other,Other,Informational,Active,,specialist-partial
/ru/specialist/vytautas-sabataitis/,ru,Other,Other,Informational,Active,,specialist-partial
/ru/spetsialistai/,ru,Other,Other,Informational,Active,,partial-surface
/ru/svyazatsya/,ru,Other,Other,Informational,Active,,partial-surface
/ru/titulinis/,ru,Other,Other,Informational,Active,,partial-surface
/ru/tseny/,ru,Other,Other,Cost,Active,,partial-surface
/ru/service/%d1%84%d0%b8%d0%b7%d0%b8%d0%be%d1%82%d0%b5%d1%80%d0%b0%d0%bf%d0%b8%d1%8f/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/diagnostika/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/esteticheskoe-plombirovanie/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/esteticheskoe-protezirovanie/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/gigiena-polosti-rta/,ru,Service,Hygiene,Commercial,Active,,service-mirror-candidate
/ru/service/implantatsiya-zubov/,ru,Service,Implants,Commercial,Active,,service-mirror-candidate
/ru/service/laboratoriya/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/lecheniye-kanalov/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/lecheniye-zubov-u-detey/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/otbelivanie-zubov/,ru,Service,Whitening,Commercial,Active,,service-mirror-candidate
/ru/service/parodontologiya/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/plombirovanie-zubov/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/protezirovanie-zubov/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/udaleniye-zubov/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/uslugi-po-anestezii/,ru,Service,Other,Commercial,Review,Locale service outside priority clusters,service-mirror-candidate
/ru/service/vypryamlenie-zubov-ortodontiya/,ru,Service,Orthodontics,Commercial,Active,,service-mirror-candidate
